seed,threshold,n,t_max,dt,peak_drift,final_drift,peak_time,branches,passed_i16,passed_i18,reference,run_id
17,0.05,6,0.3,0.02,0.00017664139494255607,0.00014095062986207998,0.24,6,true,true,candidate,005116
2,0.05,8,0.3,0.02,0.00027485319852549317,0.00023919130059724125,0.14,8,true,true,candidate,000628
16,0.05,12,0.3,0.02,0.0003360955352262885,0.0003360955352262885,0.3,12,true,true,candidate,004840
13,0.05,16,0.3,0.01,0.0009535331697838602,0.0005563876390731749,0.22,16,true,true,candidate,003951
