seed,threshold,n,t_max,dt,peak_drift,final_drift,peak_time,branches,passed_i16,passed_i18,reference,run_id
0,0.1,16,3.0,0.02,0.032374528809563596,0.026701297447038197,2.58,12,true,false,candidate,000121
0,0.15,4,0.3,0.005,0.0021340333344894713,0.0021340333344894713,0.3,4,true,true,candidate,000122
0,0.15,4,0.3,0.01,0.002134033339700192,0.002134033339700192,0.3,4,true,true,candidate,000123
0,0.15,4,0.3,0.02,0.002134033411837377,0.002134033411837377,0.3,4,true,true,candidate,000124
0,0.15,4,0.5,0.005,0.00774883753265998,0.00774883753265998,0.5,4,true,true,candidate,000125
0,0.15,4,0.5,0.01,0.007748837540554776,0.007748837540554776,0.5,4,true,true,candidate,000126
0,0.15,4,0.5,0.02,0.00774883764817913,0.00774883764817913,0.5,4,true,true,candidate,000127
0,0.15,4,1.0,0.005,0.02890109149210507,0.02890109149210507,1.0,4,true,true,candidate,000128
0,0.15,4,1.0,0.01,0.028901091508172216,0.028901091508172216,1.0,4,true,true,candidate,000129
0,0.15,4,1.0,0.02,0.02890109172785893,0.02890109172785893,1.0,4,true,true,candidate,000130
0,0.15,4,3.0,0.005,0.048529716186282545,0.030683037163186322,1.85,4,true,false,candidate,000131
0,0.15,4,3.0,0.01,0.048529716229163355,0.030683037231689747,1.85,4,true,false,candidate,000132
0,0.15,4,3.0,0.02,0.04852769571923998,0.030683038227996562,1.84,4,true,false,candidate,000133
0,0.15,6,0.3,0.005,0.00451096167385634,0.00451096167385634,0.3,6,true,true,candidate,000134
0,0.15,6,0.3,0.01,0.004510961656028378,0.004510961656028378,0.3,6,true,true,candidate,000135
0,0.15,6,0.3,0.02,0.004510961337693464,0.004510961337693464,0.3,6,true,true,candidate,000136
0,0.15,6,0.5,0.005,0.01095078345409739,0.01095078345409739,0.5,6,true,true,candidate,000137
0,0.15,6,0.5,0.01,0.010950783421492805,0.010950783421492805,0.5,6,true,true,candidate,000138
0,0.15,6,0.5,0.02,0.010950782843379248,0.010950782843379248,0.5,6,true,true,candidate,000139
0,0.15,6,1.0,0.005,0.02778541018375269,0.02778541018375269,1.0,6,true,true,candidate,000140
0,0.15,6,1.0,0.01,0.027785410114131937,0.027785410114131937,1.0,6,true,true,candidate,000141
0,0.15,6,1.0,0.02,0.027785408880728113,0.027785408880728113,1.0,6,true,true,candidate,000142
0,0.15,6,3.0,0.005,0.05632542307070665,0.05632542307070665,3.0,6,true,false,candidate,000143
0,0.15,6,3.0,0.01,0.056325422841547956,0.056325422841547956,3.0,6,true,false,candidate,000144
0,0.15,6,3.0,0.02,0.05632541874988983,0.05632541874988983,3.0,6,true,false,candidate,000145
0,0.15,8,0.3,0.005,0.0022053907798356143,0.0022053907798356143,0.3,4,true,true,candidate,000146
0,0.15,8,0.3,0.01,0.0022053907688546204,0.0022053907688546204,0.3,4,true,true,candidate,000147
