d,path,phi,overall,below_gap1,below_accept
0.2300,enviesado,0.827577,0.839000,false,false
0.2320,enviesado,0.826077,0.837600,false,false
0.2340,enviesado,0.824578,0.836200,false,false
0.2360,enviesado,0.823079,0.834800,false,false
0.2380,enviesado,0.821579,0.833400,false,false
0.2400,enviesado,0.820080,0.832000,false,false
0.2420,enviesado,0.818581,0.830600,false,false
0.2440,enviesado,0.817081,0.829200,false,false
0.2460,enviesado,0.815582,0.827800,false,false
0.2480,enviesado,0.814083,0.826400,false,false
0.2500,enviesado,0.812583,0.825000,false,false
0.2520,enviesado,0.811084,0.823600,false,false
0.2540,enviesado,0.809585,0.822200,false,false
0.2560,enviesado,0.808085,0.820800,false,false
0.2580,enviesado,0.806586,0.819400,false,false
0.2600,enviesado,0.805087,0.818000,false,false
0.2620,enviesado,0.803587,0.816600,false,false
0.2640,enviesado,0.802088,0.815200,false,false
0.2660,enviesado,0.800589,0.813800,false,false
0.2680,enviesado,0.799089,0.812400,false,false
0.2700,enviesado,0.797590,0.811000,false,false
0.2720,enviesado,0.796091,0.809600,false,false
0.2740,enviesado,0.794591,0.808200,false,false
0.2760,enviesado,0.793092,0.806800,false,false
0.2780,enviesado,0.791593,0.805400,false,false
0.2800,enviesado,0.790093,0.804000,false,false
0.2820,enviesado,0.788594,0.802600,false,false
0.2840,enviesado,0.787095,0.801200,false,false
0.2860,enviesado,0.785595,0.799800,false,true
0.2880,enviesado,0.784096,0.798400,false,true
0.2900,enviesado,0.782597,0.797000,false,true
0.2920,enviesado,0.781097,0.795600,false,true
0.2940,enviesado,0.779598,0.794200,false,true
0.2960,enviesado,0.778099,0.792800,false,true
0.2980,enviesado,0.776599,0.791400,false,true
0.3000,enviesado,0.775100,0.790000,false,true
0.3020,enviesado,0.773601,0.788600,false,true
0.3040,enviesado,0.772101,0.787200,false,true
0.3060,enviesado,0.770602,0.785800,false,true
0.3080,enviesado,0.769103,0.784400,false,true
0.3100,enviesado,0.767603,0.783000,false,true
0.3120,enviesado,0.766104,0.781600,false,true
0.3140,enviesado,0.764605,0.780200,false,true
0.3160,enviesado,0.763105,0.778800,false,true
0.3180,enviesado,0.761606,0.777400,false,true
0.3200,enviesado,0.760107,0.776000,false,true
0.3220,enviesado,0.758607,0.774600,false,true
0.3240,enviesado,0.757108,0.773200,false,true
0.3260,enviesado,0.755609,0.771800,false,true
0.3280,enviesado,0.754109,0.770400,false,true
0.3300,enviesado,0.752610,0.769000,false,true
0.3320,enviesado,0.751111,0.767600,false,true
0.3340,enviesado,0.749611,0.766200,false,true
0.3360,enviesado,0.748112,0.764800,false,true
0.3380,enviesado,0.746613,0.763400,false,true
0.3400,enviesado,0.745113,0.762000,false,true
0.3420,enviesado,0.743614,0.760600,false,true
0.3440,enviesado,0.742115,0.759200,false,true
0.3460,enviesado,0.740615,0.757800,false,true
0.3480,enviesado,0.739116,0.756400,false,true
0.3500,enviesado,0.737617,0.755000,false,true
0.3520,enviesado,0.736117,0.753600,false,true
0.3540,enviesado,0.734618,0.752200,false,true
0.3560,enviesado,0.733119,0.750800,false,true
0.3580,enviesado,0.731619,0.749400,false,true
0.3600,enviesado,0.730120,0.748000,false,true
0.3620,enviesado,0.728621,0.746600,false,true
0.3640,enviesado,0.727121,0.745200,false,true
0.3660,enviesado,0.725622,0.743800,false,true
0.3680,enviesado,0.724123,0.742400,false,true
0.3700,enviesado,0.722623,0.741000,false,true
0.3720,enviesado,0.721124,0.739600,false,true
0.3740,enviesado,0.719625,0.738200,false,true
0.3760,enviesado,0.718125,0.736800,false,true
0.3780,enviesado,0.716626,0.735400,false,true
0.3800,enviesado,0.715127,0.734000,false,true
0.3820,enviesado,0.713627,0.732600,false,true
0.3840,enviesado,0.712128,0.731200,false,true
0.3860,enviesado,0.710629,0.729800,false,true
0.3880,enviesado,0.709129,0.728400,false,true
0.3900,enviesado,0.707630,0.727000,false,true
0.3920,enviesado,0.706131,0.725600,false,true
0.3940,enviesado,0.704631,0.724200,false,true
0.3960,enviesado,0.703132,0.722800,false,true
0.3980,enviesado,0.701633,0.721400,false,true
0.4000,enviesado,0.700133,0.720000,false,true
0.4020,enviesado,0.698634,0.718600,false,true
0.4040,enviesado,0.697135,0.717200,false,true
0.4060,enviesado,0.695635,0.715800,false,true
0.4080,enviesado,0.694136,0.714400,false,true
0.4100,enviesado,0.692637,0.713000,false,true
0.4120,enviesado,0.691137,0.711600,false,true
0.4140,enviesado,0.689638,0.710200,false,true
0.4160,enviesado,0.688139,0.708800,false,true
0.4180,enviesado,0.686639,0.707400,false,true
0.4200,enviesado,0.685140,0.706000,false,true
0.4220,enviesado,0.683641,0.704600,false,true
0.4240,enviesado,0.682141,0.703200,false,true
0.4260,enviesado,0.680642,0.701800,false,true
0.4280,enviesado,0.679143,0.700400,false,true
0.4300,enviesado,0.677643,0.699000,false,true
0.4320,enviesado,0.676144,0.697600,false,true
0.4340,enviesado,0.674645,0.696200,false,true
0.4360,enviesado,0.673145,0.694800,false,true
0.4380,enviesado,0.671646,0.693400,false,true
0.4400,enviesado,0.670147,0.692000,false,true
0.4420,enviesado,0.668647,0.690600,false,true
0.4440,enviesado,0.667148,0.689200,false,true
0.4460,enviesado,0.665649,0.687800,false,true
0.4480,enviesado,0.664149,0.686400,false,true
0.4500,enviesado,0.662650,0.685000,false,true
0.4520,enviesado,0.661151,0.683600,false,true
0.4540,enviesado,0.659651,0.682200,false,true
0.4560,enviesado,0.658152,0.680800,false,true
0.4580,enviesado,0.656653,0.679400,false,true
0.4600,enviesado,0.655153,0.678000,false,true
0.4620,enviesado,0.653654,0.676600,false,true
0.4640,enviesado,0.652155,0.675200,false,true
0.4660,enviesado,0.650655,0.673800,false,true
0.4680,enviesado,0.649156,0.672400,false,true
0.4700,enviesado,0.647657,0.671000,false,true
0.4720,enviesado,0.646157,0.669600,false,true
0.4740,enviesado,0.644658,0.668200,false,true
0.4760,enviesado,0.643159,0.666800,false,true
0.4780,enviesado,0.641659,0.665400,false,true
0.4800,enviesado,0.640160,0.664000,false,true
0.4820,enviesado,0.638661,0.662600,false,true
0.4840,enviesado,0.637161,0.661200,false,true
0.4860,enviesado,0.635662,0.659800,false,true
0.4880,enviesado,0.634163,0.658400,false,true
0.4900,enviesado,0.632663,0.657000,false,true
0.4920,enviesado,0.631164,0.655600,false,true
0.4940,enviesado,0.629665,0.654200,false,true
