k,alpha,drive_order,pitch_measured,relax_order_2d
0.4,0.1,0.18357714182241508,0.10008699650614594,0.9971400814261332
0.4,0.2,0.1483290254347871,0.20008699650614578,0.9855337686667544
0.4,0.3,0.2552153118051534,0.3000869965061456,0.9978603522573587
0.4,0.4,0.2479564927752181,0.4000869965061458,0.2830544468077032
0.4,0.5,0.1857342821964286,0.500086996506146,0.2821183571979712
0.4,0.6,0.30885389210208686,0.6000869965061456,0.3253110889580666
0.4,0.7,0.14870812144352133,0.7000869965061458,0.18005476234384046
0.4,0.8,0.17835274203245452,0.800086996506146,0.13248209317855994
0.5,0.1,0.34332232777443955,0.10006397965757248,0.9997488133076016
0.5,0.2,0.15965199870034308,0.20006397965757294,0.9987368679264652
0.5,0.3,0.3354638039620417,0.30006397965757264,0.9997996547219783
0.5,0.4,0.2664748941310358,0.40006397965757245,0.2642418482327241
0.5,0.5,0.21537173160170142,0.5000639796575724,0.28134088657399825
0.5,0.6,0.33317488865394906,0.6000639796575725,0.38550637215507044
0.5,0.7,0.0733391628127536,0.7000639796575728,0.1512379100633257
0.5,0.8,0.07475617161189331,0.8000639796575723,0.13198941938191427
0.6000000000000001,0.1,0.48560270276765133,0.10004704392779497,0.9999778474442269
0.6000000000000001,0.2,0.18041745466514256,0.2000470439277948,0.9998868152450222
0.6000000000000001,0.3,0.34045136567554457,0.300047043927795,0.9999811543356899
0.6000000000000001,0.4,0.2672066725102699,0.4000470439277948,0.2634604947936409
0.6000000000000001,0.5,0.25094236832784433,0.500047043927795,0.28316016999289956
0.6000000000000001,0.6,0.36563886949300906,0.6000470439277948,0.3151888862647754
0.6000000000000001,0.7,0.03477093814811551,0.7000470439277947,0.18428475866472177
0.6000000000000001,0.8,0.11016527242080756,0.8000470439277947,0.07345944847487526
0.7000000000000001,0.1,0.5622831897772822,0.10003459022670501,0.9999980462659462
0.7000000000000001,0.2,0.20252130556282713,0.20003459022670514,0.9999897671941037
0.7000000000000001,0.3,0.3264492785869996,0.3000345902267049,0.999998222372265
0.7000000000000001,0.4,0.27452200986295316,0.40003459022670534,0.2633901896023276
0.7000000000000001,0.5,0.2764564928891841,0.5000345902267049,0.284448617015241
0.7000000000000001,0.6,0.3688717277199516,0.6000345902267052,0.3626128702313444
0.7000000000000001,0.7,0.0614477626329826,0.7000345902267051,0.02812241454453929
0.7000000000000001,0.8,0.10320470840024853,0.800034590226705,0.10654914142955225
0.8,0.1,0.6095809524700665,0.10002543299449607,0.9999998277462089
0.8,0.2,0.20670960659707402,0.20002543299449602,0.9999990699518752
0.8,0.3,0.324241058997304,0.30002543299449597,0.999999831952269
0.8,0.4,0.30206719486282274,0.400025432994496,0.26341403694962173
0.8,0.5,0.2822318023766882,0.500025432994496,0.28517016210766916
0.8,0.6,0.34179316864945114,0.6000254329944963,0.42338172410589847
0.8,0.7,0.06459699538054782,0.7000254329944962,0.13417427636733828
0.8,0.8,0.20098435678694546,0.8000254329944959,0.129613963171959
0.9,0.1,0.6488631152682007,0.10001869977566548,0.9999999848181772
0.9,0.2,0.21276787320018462,0.20001869977566528,0.9999999151237641
0.9,0.3,0.31841649075188727,0.3000186997756651,0.999999984083724
0.9,0.4,0.37501991064796436,0.40001869977566545,0.26343044737281573
0.9,0.5,0.2701833116186095,0.5000186997756654,0.2855697064428335
0.9,0.6,0.334826726506655,0.6000186997756651,0.39078593459863986
0.9,0.7,0.15042773106832769,0.7000186997756654,0.4129352532030356
0.9,0.8,0.09830408917957888,0.8000186997756656,0.06754384472300527
1.0,0.1,0.6853203446730309,0.10001374896974653,0.9999999986623809
1.0,0.2,0.23661109673028233,0.20001374896974586,0.9999999922253617
1.0,0.3,0.3129466588668351,0.30001374896974614,0.9999999984900737
1.0,0.4,0.3941853874269228,0.40001374896974656,0.26343867886650085
1.0,0.5,0.22107717608598015,0.5000137489697466,0.2857946801691278
1.0,0.6,0.32094106745211975,0.600013748969746,0.2284285292827321
1.0,0.7,0.16774765365006114,0.7000137489697459,0.022340107576268035
1.0,0.8,0.04589250638696866,0.8000137489697464,0.041868070044210504
1.1,0.1,0.7123426372542293,0.10001010878083885,0.9999999998821862
1.1,0.2,0.2546505358755176,0.20001010878083886,0.999999999285006
1.1,0.3,0.3079962054388847,0.3000101087808387,0.9999999998565544
1.1,0.4,0.38854561837881785,0.4000101087808388,0.26344264833131664
1.1,0.5,0.19843896737840397,0.5000101087808387,0.2859230248455844
1.1,0.6,0.3021870547836099,0.6000101087808385,0.1871131357763151
1.1,0.7,0.12429967005591153,0.700010108780839,0.1949522122438452
1.1,0.8,0.12418580246266316,0.8000101087808388,0.186835472348048
1.2000000000000002,0.1,0.7466088898236557,0.10000743228355788,0.9999999999896269
1.2000000000000002,0.2,0.2670438259453019,0.200007432283558,0.9999999999339128
1.2000000000000002,0.3,0.30381416222445573,0.30000743228355775,0.9999999999863555
1.2000000000000002,0.4,0.3754157705797725,0.400007432283558,0.2634444330408704
1.2000000000000002,0.5,0.20347561925019444,0.500007432283558,0.28599682789293607
1.2000000000000002,0.6,0.30170850528425824,0.600007432283558,0.4020175739824287
1.2000000000000002,0.7,0.11860236638145752,0.7000074322835578,0.175201839562485
1.2000000000000002,0.8,0.12808980773988995,0.800007432283558,0.07181906825231918
1.3,0.1,0.7828643173073888,0.10000546437662247,0.9999999999990858
