k,sigma_w,r_mean,r_std,kc_all
0.4,0.2,0.7987336131309188,0.13770496868385879,0.3191538243211462
0.4,0.5,0.28690764593564694,0.09954413070120449,0.7978845608028654
0.4,1.0,0.17093855049102732,0.09790814764325141,1.5957691216057308
0.5,0.2,0.8930598927291152,0.0629305247255316,0.3191538243211462
0.5,0.5,0.24241881430144,0.16313537666845665,0.7978845608028654
0.5,1.0,0.14707564942966314,0.07502628813390443,1.5957691216057308
0.6000000000000001,0.2,0.9280495454952368,0.042639309407181455,0.3191538243211462
0.6000000000000001,0.5,0.48255064576776024,0.14468542451133837,0.7978845608028654
0.6000000000000001,1.0,0.17597397010186913,0.1223571319126913,1.5957691216057308
0.7000000000000001,0.2,0.9479476388222071,0.031020593992209116,0.3191538243211462
0.7000000000000001,0.5,0.5191333226362804,0.21669867827840583,0.7978845608028654
0.7000000000000001,1.0,0.21751575416734792,0.073022055715268,1.5957691216057308
0.8,0.2,0.9605051456430829,0.02362722272226204,0.3191538243211462
0.8,0.5,0.6094566011910083,0.2067765756638049,0.7978845608028654
0.8,1.0,0.14832899522768023,0.08973885403228983,1.5957691216057308
0.9,0.2,0.9689749167805798,0.018609901834600897,0.3191538243211462
0.9,0.5,0.7081080912148932,0.14655954199183685,0.7978845608028654
0.9,1.0,0.26343655256020326,0.08920047573564246,1.5957691216057308
1.0,0.2,0.9749697122859589,0.015042899134321342,0.3191538243211462
1.0,0.5,0.804665329169017,0.12400453231733224,0.7978845608028654
1.0,1.0,0.4173357621447196,0.13087249595198844,1.5957691216057308
1.1,0.2,0.9793730588845451,0.012414232307965449,0.3191538243211462
1.1,0.5,0.8552098548649049,0.08603977311639344,0.7978845608028654
1.1,1.0,0.39099703575200606,0.20899123150434099,1.5957691216057308
1.2000000000000002,0.2,0.9827046361711864,0.010420449569026404,0.3191538243211462
1.2000000000000002,0.5,0.882684431722117,0.0689952802018179,0.7978845608028654
1.2000000000000002,1.0,0.4380251516382046,0.18409869664688405,1.5957691216057308
1.3,0.2,0.9852872299998444,0.00887193890507722,0.3191538243211462
1.3,0.5,0.9019909769124479,0.057747668027291164,0.7978845608028654
1.3,1.0,0.4402795266437736,0.21227600204901734,1.5957691216057308
1.4000000000000001,0.2,0.9873302618886313,0.00764510211759531,0.3191538243211462
1.4000000000000001,0.5,0.9166054610108357,0.049281633175837634,0.7978845608028654
1.4000000000000001,1.0,0.49306795619025096,0.23567702127159487,1.5957691216057308
1.5,0.2,0.988974565052347,0.006656510434823135,0.3191538243211462
1.5,0.5,0.9280495459169141,0.04263931083512211,0.7978845608028654
1.5,1.0,0.5134441566783101,0.25651622617280523,1.5957691216057308
1.6,0.2,0.9903177457098443,0.0058481686630126,0.3191538243211462
1.6,0.5,0.9372222157728193,0.03729636471334239,0.7978845608028654
1.6,1.0,0.6345198596750463,0.19095292059075716,1.5957691216057308
1.7000000000000002,0.2,0.9914292145538619,0.005178733625073223,0.3191538243211462
1.7000000000000002,0.5,0.9447075310683127,0.03292002741181552,0.7978845608028654
1.7000000000000002,1.0,0.6343300249684817,0.18434969270118232,1.5957691216057308
1.8,0.2,0.9923594428160131,0.004618082302519899,0.3191538243211462
1.8,0.5,0.9509059409370079,0.029283515936515812,0.7978845608028654
1.8,1.0,0.7151701762674719,0.16680437475475882,1.5957691216057308
1.9000000000000001,0.2,0.9931458515800219,0.0041438428036052926,0.3191538243211462
1.9000000000000001,0.5,0.9561023373478953,0.02622540303779776,0.7978845608028654
1.9000000000000001,1.0,0.7979085975688244,0.10400794955773988,1.5957691216057308
2.0,0.2,0.9938166669094715,0.0037391164293034415,0.3191538243211462
2.0,0.5,0.9605051456431739,0.02362722272232685,0.7978845608028654
2.0,1.0,0.7947096960948854,0.1419265997189093,1.5957691216057308
